subaward_amount,subaward_action_date_fiscal_year,subawardee_name,subawardee_business_types,subaward_description_list
62696821,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Detonator&Initiator
60448995,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Fuselage
6.00E+07,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",GenStructuralAssys
48800000,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",MoldedRubber&ORing
48800000,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Non-complexMachined
48800000,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",NRE-Other
4.40E+07,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Seals
39200000,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Tech/EngServices
35100000,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",WireCable
31200000,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Detonator&Initiator
22205895,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Fuselage
2.10E+07,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",GenStructuralAssys
11200000,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",MoldedRubber&ORing
8.00E+06,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Non-complexMachined
6.00E+06,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",NRE-Other
4945440,2017,ORBITAL SCIENCES LLC,"For-Profit Organization,Limited Liability Company",Seals
4866781,2017,ORBITAL SCIENCES CORPORATION,For-Profit Organization,Tech/EngServices
4.00E+06,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",WireCable
3190801,2017,ORBITAL SCIENCES CORPORATION,For-Profit Organization,CostPlusFixedFee
2979529,2017,ORBITAL SCIENCES LLC,"For-Profit Organization,Limited Liability Company",CostPlusFixedFee
2657424,2018,"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","For-Profit Organization,Manufacturer of Goods,Self-Certified Small Disadvantaged Business,Woman-Owned Business",CostPlusFixedFee
2356023,2017,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
2356023,2017,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
2328936,2017,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
2176384,2020,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
2148728,2020,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
1997588,2017,"AEROJET ROCKETDYNE, INC.","For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
