subawardee_name,subaward_amount,subawardee_business_types,subaward_description_list
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",Detonator&Initiator
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",Fuselage
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",GenStructuralAssys
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",MoldedRubber&ORing
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",Non-complexMachined
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",Seals
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",Tech/EngServices
ALLIANT TECHSYSTEMS OPERATIONS LLC,62696821,"For-Profit Organization,Manufacturer of Goods",WireCable
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",Detonator&Initiator
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",Fuselage
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",GenStructuralAssys
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",MoldedRubber&ORing
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",Non-complexMachined
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",Seals
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",Tech/EngServices
ALLIANT TECHSYSTEMS OPERATIONS LLC,60448995,"For-Profit Organization,Manufacturer of Goods",WireCable
ALLIANT TECHSYSTEMS OPERATIONS LLC,60000000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,48800000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,48800000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,48800000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,44000000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,39200000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,35100000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,31200000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,22205895,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,21000000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,11200000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,8000000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,6000000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,4000000,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,500000,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
ALLIANT TECHSYSTEMS OPERATIONS LLC,199862,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,197547,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,197472,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,99925,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,98553,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,91925,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,2176384,"For-Profit Organization,Manufacturer of Goods",NRE-Other
ALLIANT TECHSYSTEMS OPERATIONS LLC,2148728,"For-Profit Organization,Manufacturer of Goods",NRE-Other
