"prime_award_disaster_emergency_fund_codes","prime_award_obligated_amount_funded_by_covid_19_supplementals","prime_award_awarding_sub_agency_code","prime_award_awarding_sub_agency_name","prime_award_awarding_office_code","prime_award_awarding_office_name","prime_award_funding_sub_agency_code","prime_award_funding_sub_agency_name","prime_award_funding_office_code","prime_award_funding_office_name","prime_awardee_dba_name","prime_awardee_parent_duns","prime_awardee_parent_name","prime_awardee_business_types","prime_award_primary_place_of_performance_city_name","prime_award_primary_place_of_performance_address_zip_code","prime_award_primary_place_of_performance_congressional_district","prime_award_project_title","subaward_fsrs_report_id","subaward_fsrs_report_year","subaward_fsrs_report_month","subaward_number","subaward_amount","subaward_action_date","subaward_action_date_fiscal_year","subawardee_duns","subawardee_name","subawardee_dba_name","subawardee_parent_duns","subawardee_parent_name","subawardee_address_line_1","subawardee_city_name","subawardee_state_code","subawardee_state_name","subawardee_zip_code","subawardee_congressional_district","subawardee_business_types","subaward_primary_place_of_performance_city_name","subaward_primary_place_of_performance_state_code","subaward_primary_place_of_performance_state_name","subaward_primary_place_of_performance_address_zip_code","subaward_primary_place_of_performance_congressional_district","subaward_description","subawardee_highly_compensated_officer_1_name","subawardee_highly_compensated_officer_1_amount","subawardee_highly_compensated_officer_2_name","subawardee_highly_compensated_officer_2_amount","subawardee_highly_compensated_officer_3_name","subawardee_highly_compensated_officer_3_amount","subawardee_highly_compensated_officer_4_name","subawardee_highly_compensated_officer_4_amount","subawardee_highly_compensated_officer_5_name","subawardee_highly_compensated_officer_5_amount","subaward_fsrs_report_last_modified_date"
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001344142","RAYTHEON TECHNOLOGIES CORPORATION","For-Profit Organization,Manufacturer of Goods","15090 Tucson, AZ",857569367,"03","HYPERSONIC AIR BREAT","3969f7c16051e43a4663fc4a20da4d12",2021,10,"4201363150",62696821,2016-09-06,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC",NA,"967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-16 13:35:00
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001344142","RAYTHEON TECHNOLOGIES CORPORATION",NA,"15090 Tucson, AZ",857569367,"03","HYPERSONIC AIR BREAT","9cc566b9e1dd74484ffd626aba55c80e",2020,10,"4201363150",60448995,2016-09-06,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC",NA,"967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-17 10:56:12
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F1TBPV","AFRL RWP","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","813c30bc44e1bea1e5e1ea73cf917ade",2018,6,"4201363150",6e+07,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-09 19:26:13
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F4FRQH","AFRL RQH         HIGH SPEED SYS DIV","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","52c71e38b04ffded1ad9bbd19d37aa0e",2018,1,"4201363150",48800000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-02-15 14:22:36
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","b6539f59e65a9689ac55b644219dadb6",2018,2,"4201363150",48800000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-03-26 19:23:55
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","8911e3768865bb0ce8b2acf29575eeb1",2018,3,"4201363150",48800000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-23 20:03:10
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F1TBPV","AFRL RWP","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","7e300d5b9e9b4dca0d0fbe32d3a22138",2018,11,"4201363150",4.4e+07,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-14 17:39:50
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","8a060156205515e8ffdd6d97796735d6",2017,8,"4201363150",39200000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","618705925","ORBITAL ATK, INC.","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-27 14:39:26
NA,NA,"9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","S0305A","DCMA RAYTHEON TUCSON","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857569367,"03","AMS: ADV PROGRAMS","3f42e973b4518e391d9b610029bbbd7b",2019,5,"4201363150",35100000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-06 16:36:56
NA,NA,"97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","HR0011","DEF ADVANCED RESEARCH PROJECTS AGCY","5700","DEPT OF THE AIR FORCE","F1TBAX","AFRL RW","RAYTHEON COMPANY","001339159","RAYTHEON COMPANY",NA,"Tucson",857566100,"02","AMS: ADV PROGRAMS","3113bab7e9e914995348650434b4ae6a",2019,3,"4201363150",31200000,2016-08-30,2016,"780680976","ALLIANT TECHSYSTEMS OPERATIONS LLC","TACTICAL PROPULSION AND CONTROLS DIVISION","967356127","NORTHROP GRUMMAN CORPORATION","55 THIOKOL RD","ELKTON","MD","Maryland","219214755","01","For-Profit Organization,Manufacturer of Goods","ELKTON","MD","Maryland","219214755","01","Cost Plus Fixed Fee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-02 20:24:02
