"subaward_primary_place_of_performance_state_name","n","long","lat","group","order","subregion"
"alabama",202,-87.46200562,30.38968086,1,1,NA
NA,NA,NA,NA,NA,NA,NA
"arizona",149,-114.6373901,35.0191803,2,204,NA
"arkansas",312,-94.05102539,33.03674698,3,354,NA
"california",516,-120.006012,42.0092659,4,667,NA
"colorado",79,-102.0552444,40.00964355,5,1184,NA
"connecticut",91,-73.49902344,42.04937363,6,1264,NA
"delaware",94,-75.80231476,39.72889328,7,1356,NA
"district of columbia",10,-77.13730621,38.94394302,8,1451,NA
"florida",872,-85.01548004,30.99701691,9,1462,NA
"georgia",381,-80.8901825,32.03979874,10,2335,NA
"idaho",233,-117.0266342,42.0092659,11,2717,NA
"illinois",329,-90.641922,42.50774002,12,2951,NA
"indiana",257,-88.02350616,37.79229736,13,3281,NA
"iowa",256,-91.22634125,43.49895477,14,3539,NA
"kansas",113,-94.63543701,37.02453232,15,3796,NA
"kentucky",397,-82.56894684,38.42827988,16,3910,NA
"louisiana",650,-94.05102539,33.03674698,17,4308,NA
"maine",399,-70.73736572,43.08642578,18,4959,NA
"maryland",566,-77.71599579,39.32782364,19,5359,NA
"massachusetts",286,-70.45088959,41.40192795,20,5926,"martha's vineyard"
"massachusetts",286,-70.45661926,41.39047241,20,5927,"martha's vineyard"
"massachusetts",286,-70.45661926,41.37328339,20,5928,"martha's vineyard"
"massachusetts",286,-70.46807861,41.35609436,20,5929,"martha's vineyard"
"massachusetts",286,-70.50818634,41.35609436,20,5930,"martha's vineyard"
"massachusetts",286,-70.56548309,41.34463501,20,5931,"martha's vineyard"
"massachusetts",286,-70.61704254,41.34463501,20,5932,"martha's vineyard"
"massachusetts",286,-70.6800766,41.34463501,20,5933,"martha's vineyard"
"massachusetts",286,-70.70871735,41.33890533,20,5934,"martha's vineyard"
"massachusetts",286,-70.73736572,41.33890533,20,5935,"martha's vineyard"
"massachusetts",286,-70.7430954,41.32744598,20,5936,"martha's vineyard"
"massachusetts",286,-70.77747345,41.31025696,20,5937,"martha's vineyard"
"massachusetts",286,-70.80039215,41.30452728,20,5938,"martha's vineyard"
"massachusetts",286,-70.81758118,41.31025696,20,5939,"martha's vineyard"
"massachusetts",286,-70.82904053,41.32744598,20,5940,"martha's vineyard"
"massachusetts",286,-70.82904053,41.34463501,20,5941,"martha's vineyard"
"massachusetts",286,-70.82331085,41.35609436,20,5942,"martha's vineyard"
